Species,CulmenLength,CulmenDepth,FlipperLength,OriginLocation,BodyMass
Chinstrap,51.5,18.7,187,Dream,3250
Chinstrap,49.8,17.3,198,Dream,3675
Gentoo,46.1,13.2,211,Biscoe,4500
Gentoo,50,16.3,230,Biscoe,5700
Gentoo,48.7,14.1,210,Biscoe,4450
Gentoo,50,15.2,218,Biscoe,5700
Gentoo,47.6,14.5,215,Biscoe,5400
Gentoo,46.5,13.5,210,Biscoe,4550
Gentoo,45.4,14.6,211,Biscoe,4800
Gentoo,46.7,15.3,219,Biscoe,5200
Gentoo,43.3,13.4,209,Biscoe,4400
Gentoo,46.8,15.4,215,Biscoe,5150
Gentoo,40.9,13.7,214,Biscoe,4650
Gentoo,49,16.1,216,Biscoe,5550
Gentoo,45.5,13.7,214,Biscoe,4650
Gentoo,48.4,14.6,213,Biscoe,5850
Gentoo,45.8,14.6,210,Biscoe,4200
Gentoo,49.3,15.7,217,Biscoe,5850
Gentoo,42,13.5,210,Biscoe,4150
Gentoo,49.2,15.2,221,Biscoe,6300
Gentoo,46.2,14.5,209,Biscoe,4800
Gentoo,48.7,15.1,222,Biscoe,5350
Gentoo,50.2,14.3,218,Biscoe,5700
Gentoo,45.1,14.5,215,Biscoe,5000
Gentoo,46.5,14.5,213,Biscoe,4400
Gentoo,46.3,15.8,215,Biscoe,5050
Gentoo,42.9,13.1,215,Biscoe,5000
Gentoo,46.1,15.1,215,Biscoe,5100
Gentoo,44.5,14.3,216,Biscoe,4100
Gentoo,47.8,15,215,Biscoe,5650
Gentoo,48.2,14.3,210,Biscoe,4600
Gentoo,50,15.3,220,Biscoe,5550
Gentoo,47.3,15.3,222,Biscoe,5250
Gentoo,42.8,14.2,209,Biscoe,4700
Gentoo,45.1,14.5,207,Biscoe,5050
Gentoo,59.6,17,230,Biscoe,6050
Gentoo,49.1,14.8,220,Biscoe,5150
Gentoo,48.4,16.3,220,Biscoe,5400
Gentoo,50.5,15.2,216,Biscoe,5000
Gentoo,49.8,15.9,229,Biscoe,5950
Gentoo,43.5,15.2,213,Biscoe,4650
Gentoo,51.5,16.3,230,Biscoe,5500
Gentoo,46.2,14.1,217,Biscoe,4375
Gentoo,55.1,16,230,Biscoe,5850
Gentoo,44.5,15.7,217,Biscoe,4875
Gentoo,48.8,16.2,222,Biscoe,6000
Gentoo,47.2,13.7,214,Biscoe,4925
Gentoo,NA,NA,NA,Biscoe,NA
Gentoo,46.8,14.3,215,Biscoe,4850
Gentoo,50.4,15.7,222,Biscoe,5750
Gentoo,45.2,14.8,212,Biscoe,5200
Gentoo,49.9,16.1,213,Biscoe,5400
